RDO:;RDO NO. 52 - PARANAQUE;;;(Formerly RDO NO. 34 - Paranaque, Las Pinas and Muntinlupa);
PROVINCE:;NCR;;;;
CITY/MUNCIPALITY:;PARANAQUE;;;;
BARANGAY:;BACLARAN  (1);;;;
A GUARRA ST;BAYANIHAN CRUZ;RR;500.00;;
A SANCHEZ ST;BRGY BACLARAN;RR;550.00;;
AIRPORT ROAD;QUIRINO AVE;RR;600.00;;
AIRPORT ROAD;QUIRINO AVE;CR;1,300.00;;
ARAGON ST;QUIRINO AVE;RR;600.00;;
BAGONG BUHAY;BAGONG ILOG;RR;550.00;;
BAGONG ILOG ST;BAGONG BUHAY;RR;550.00;;
BAGONG ISLA ST;BAGONG ILOG;RR;550.00;;
BAGONG SIKAT ST;BAGONG SILANG;RR;550.00;;
BAGONG SILANG;BAGONG SIKAT;RR;550.00;;
BAYANIHAN ST;A GUARRA ST;RR;550.00;;
BAYVIEW;QUIRINO AVE;CR;1,250.00;;
BAYVIEW  DRIVE;MIA ROAD;RR;750.00;;
BG LIPUNAN ST;KALIWANAGAN;RR;550.00;;
CORREA ST;QUIRINO AVE;RR;550.00;;
DIMASALANG ST;4 DE JULIO ST;RR;550.00;;
DR J GABRIEL ST;COR G G CRUZ;RR;750.00;;
ESPIRITU ST;F RODRIGUEZ ST;RR;600.00;;
F B HARRISON ST;COR AGUARRA;CR;1,000.00;;
F RODRIGUEZ;ESPIRITU ST;RR;600.00;;
G G CRUZ ST;F B HARRISON;RR;600.00;;
J ABAD SANTOS;BAYVIEW DRIVE;RR;600.00;;
J CORREA ST;DIMASALANG ST;RR;600.00;;
KALIWANAGAN ST;BAGONG ISLA;RR;550.00;;
KATIGBAK DRIVE;J ABAD SANTOS;RR;600.00;;
L AVELINO;T CLAUDIO ST;RR;600.00;;
LAPU LAPU ST;LT GARCIA ST;RR;550.00;;
LT GARCIA ST;DIMASALANG ST;RR;550.00;;
M ROXAS ST;AIRPORT ROAD;RR;500.00;;
MABUHAY ST;12 DE JULIO ST;RR;550.00;;
MACTAN ST;MABUHAY ST;RR;550.00;;
ODENA ST;LAPULAPU ST;RR;550.00;;
PAG ASA ST;BAGONG  BUHAY;RR;550.00;;
PINAGLBANAN ST;RUSSIA ST;RR;550.00;;
QUIRINO AVE;REAL ST;CR;1,250.00;;
REDEMPTORIST RD;Q AVENUE;CR;1,300.00;;
RIVERA ST;PINAGLABANAN;RR;500.00;;
ROXAS BLVD;REDEMPTORIST CH;CR;1,500.00;;
ROXAS BLVD;REDEMPTORIST CH;RR;1,000.00;;
SANTIAGO ST;PINAGLABANAN ST;RR;600.00;;
ST JOSEPH ST;T CLAUDIO;RR;550.00;;
STA MARIA ST;SANTIAGO ST;RR;600.00;;
STA RITA ST;QUIRINO AVE;RR;600.00;;
T ALONZO ST;T CLAUDIO ST;CR;1,000.00;;
T ALONZO ST;T CLAUDIO ST;RR;800.00;;
T CLAUDIO ST;BAYVIEW VIL;CR;1,200.00;;
T CLAUDIO ST;BAYVIEW VIL;RR;750.00;;
TAFT AVE EXT;F B HARRISON;CR;1,350.00;;
UNIDA ST;O PENA ST;CR;1,000.00;;
UNIDA ST;O PENA ST;RR;800.00;;
VIZCARRA ST;STA MARIA ST;CR;1,200.00;;
VIZCARRA ST;STA MARIA ST;RR;800.00;;
12 DE JULIO ST;17 DE MARZO ST;RR;600.00;;
12 DE JUNIO ST;22 DE MAYO ST;RR;600.00;;
12 DE MAYO ST;12 DE JUNIO ST;RR;600.00;;
17 DE MARZO ST;12 DE MAYO ST;RR;600.00;;
17 DE MAYO ST;;RR;600.00;;
22 DE MAYO ST;12 DE JUNIO ST;RR;600.00;;
4 DE JULIO ST;DIMASALANG ST;RR;550.00;;
BARANGAY:;BF HOMES  (2);;;;
BF HOMES I;BF TAHANAN VIL;RR;550.00;;
BF HOMES I;COMMERCIAL PLAZA;CR;1,000.00;;
BF HOMES II;BF TAHANAN VIL;RR;580.00;;
BF HOMES III;SAN ISIDRO;RR;580.00;;
CAMELLA HOMES;SOUTH BAY;RR;580.00;;
GOODWILL   I   II;IRENEVILLE SUBD;RR;480.00;;
IRENEVILLE SUBD;TEOVILLE;RR;580.00;;
JACKIELOUVILLE;IRENEVILLE;RR;500.00;;
MAYWOOD VILL  II;TEOVILLE;RR;480.00;;
SO BAY GARDEN;TAHANAN VIL;RR;500.00;;
SANTA RITA VIL;LOYOLA MEM PARK;RR;530.00;;
TAHANAN VIL;SO BAY GARDEN;RR;570.00;;
TEOVILLE SUBD;MAYLAND VILLAGE;RR;480.00;;
BARANGAY:;DON BOSCO  (3);;;;
AEROPARK SUBD;MARCELO GVALLEY;RR;480.00;;
B LIVING SUBD;SCIENCE VIL;RR;550.00;;
B LIVING SUBD;DONA SOLEDAD ST;CR;1,000.00;;
LEVITOWN SUBD;MENDOZA SUBD;RR;430.00;;
PAKISTAN ST;BETTER LIVING;RR;480.00;;
SCIENCE SUBD;BETTER LIVING;RR;550.00;;
BARANGAY:;DONGALO  (4);;;;
A MABINI ST;BALAGTAS ST;RR;500.00;;
BUENSUCESO ST;F CAMPOS ST;RR;500.00;;
D OCAMPOS ST;BUENSUCESO ST;RR;500.00;;
DIMATIMBANGAN;MAYUGA ST;RR;500.00;;
DR J GABRIEL;GEN LUNA;RR;500.00;;
F BALAGTAS ST;MALVAR ST;RR;500.00;;
GEN LUNA;J GABRIEL ST;RR;500.00;;
GEN MALVAR ST;BRGY DONGALO;RR;800.00;;
N MAYUGA;GEN LUNA ST;RR;500.00;;
QUIRINO AVE;ST ANDREW(LA HUERTA - SN DIONISIO);CR;1,400.00;;
QUIRINO AVE;SN DIONISIO(BACLARAN - DONGALO);CR;1,200.00;;
QUIRINO AVE;;RR;800.00;;
REGALADO ST;A MABINI;RR;400.00;;
S DE GUZMAN;DIMATIMBANGAN;RR;400.00;;
SANTA MONICA ST;DIMATIMBANGAN;RR;400.00;;
1896TH ST;S DE GUZMAN ST;RR;400.00;;
BARANGAY:;IBAYO SANTO NINO  (5);;;;
B AQUINO AVE(FORMERLY IMELDA          AVENUE);NEW MIA  *;CR;1,500.00;AIRPORT ROAD - STO NINO BRIDGE;
BERNARDO ST;DAMAYAN ST;RR;300.00;;
BULI ST;BALTAO SUBD;CR;1,500.00;;
BULI ST;BALTAO SUBD;RR;730.00;;
DAMAYAN ST;ISAROG ST;RR;450.00;;
DANDAN ST;DE LEON ST;RR;300.00;;
DE LEON ST;DANDAN ST;RR;300.00;;
E RODRIGUEZ SR;COL E DE LEON;RR;300.00;;
GREEN TOWERS;4TH ST;RR;300.00;;
ISAROG 1 ST;DAMAYAN ST;RR;300.00;;
J P RIZAL ST;AQUINO AVE QUIRINO AVE;RR;600.00;;
SANTA AGUEDA;SUN VALLEY;RR;450.00;;
SANTA ANA;SUN VALLEY;RR;450.00;;
1ST ST;COL E DE LEON;RR;300.00;;
2ND ST;COL E DE LEON;RR;300.00;;
3RD ST;COL E DE LEON;RR;300.00;;
4TH ST;COL E DE LEON;RR;300.00;;
5TH ST;COL E DE LEON;RR;300.00;;
6TH ST;COL E DE LEON;RR;300.00;;
7TH ST;COL E DE LEON;RR;300.00;;
8TH ST;COL E DE LEON;RR;300.00;;
9TH ST;COL E DE LEON;RR;300.00;;
WAWA ST;RODRIGUEZ ST;RR;300.00;;
BARANGAY:;LA HUERTA  (6);;;;
B AQUINO AVE(FORMERLY IMELDA          AVENUE);WAWA LA HUERTA;CR;700.00;;
ESPIRITU ST;QUIRINO AVE;RR;700.00;;
ISAGANI ST;P GOMEZ;RR;500.00;;
J DE LEON;DANDAN Q AVE;RR;400.00;;
J RIZAL ST;KAPT TINOY ST;RR;400.00;;
JUAN LUNA ST;KAPT TINOY ST;RR;400.00;;
KAPT FLAVIANO;DOMINGO ST;RR;400.00;;
KAPT TINOY ST;P GOMEZ;RR;400.00;;
M H DEL PILAR;DANDAN DOMINGO;RR;400.00;;
M RODRIGUEZ;M H DEL PILAR;RR;400.00;;
MA CLARA;SAN NICOLAS ST;RR;400.00;;
N DE LEON ST;DANDAN QUIRINO;RR;400.00;;
N DOMINGO ST;M H DEL PIALR;RR;400.00;;
P DANDAN ST;N DE LEON ST;RR;600.00;;
P GOMEZ;KAPT TINOY ST;RR;600.00;;
PARANG PARANGAN;IMELDA AVENUE;RR;600.00;;
QUIRINO AVE;P DANDAN ST;CR;1,200.00;;
SAN NICOLAS ST;MA CLARA ST;RR;400.00;;
V MEDINA ST;ESPIRITU CPD;RR;600.00;;
WAWA LA HUERTA;AQUINO AVENUE;RR;550.00;;
BARANGAY:;MARCELO (7);;;;
GREENVALE SUBD;SO SUPERHIGHWAY;RR;450.00;;
IRENEVILLE 2;M GREENVALLEY;RR;450.00;;
MARCELO GREEN VIL;AEROPARK SUBD;RR;500.00;;
MARCELO GREEN VIL;SO SUPERHIGHWAY;CR;1,000.00;;
MAYWOOD VIL;S DIAMOND SUBD;RR;450.00;;
S DIAMOND;MAYWOOD II;RR;430.00;;
SUPERVILLE;AVIATION HOUSE;RR;400.00;;
UNITED PQUE 4;MON EL SUBD;RR;380.00;;
UNITED PQUE 4;SSS INDUSTRIAL RD;I;680.00;;
BARANGAY:;MERVILLE (8);;;;
MERVILLE PK EXE;ADMIRAL VILLAGE;RR;580.00;;
MERVILLE PK IV;SO SUPERHIGHWAY;RR;550.00;;
MERVILLE PK SUB;SO ADMINRAL VIL;RR;580.00;;
MOLAVE SUBD;BRY MERVILLE S;RR;430.00;;
SOUTH ADMIRAL VIL;MERVILLE PK SUB;RR;450.00;;
SO GREEN PARK;BRY MERVILLE S;RR;450.00;;
BARANGAY:;MOONWALK  (9);;;;
BRICKTOWN SUBD;MOONWALK;RR;380.00;;
MOONWALK   I   II   III;BRICKTOWN;RR;400.00;;
MULTI   NATL    VIL;MOONWALK SUBD;RR;700.00;;
BARANGAY:;SAN ANTONIO  (10);;;;
BRGY VILLAGE;4TH ESTATE SUBD;RR;450.00;;
FOURTH ESTATE;GOODWILL SUBD;RR;400.00;;
GOODWILL VIL 3;4TH EST SUBD;RR;400.00;;
M ESPIRITO;BRGY VILLAGE;RR;400.00;;
MALACANANG VIL;SAV III;RR;400.00;;
MON-EL;GOODWILL SUBD;RR;480.00;;
PALANTA;SUKAT;RR;530.00;;
SN ANTONIO VIL;BRGY VILLAGE;RR;400.00;;
BARANGAY:;SAN DIONISIO  (11);;;;
A BONIFACIO ST;KABIHASNAN;RR;500.00;;
B AQUINO AVE (FORMERLY IMELDA          AVENUE);A BONIFACIO;CR;1,150.00;;
BERNABE SUBD;SAN DIONISIO;RR;650.00;;
BUENAVENTURA;SAN DIONISIO;RR;400.00;;
DR A SANTOS AVE;SAN DIONISIO;CR;1,200.00;;
FILIBUSTERISMO;QUIRINO AVE;RR;500.00;;
H RODRIGUEZ ST;QUIRINO AVE;RR;500.00;;
JACINTO ST;QUIRINO AVE;RR;500.00;;
KABIHASNAN ST;QUIRINO AVE;RR;600.00;;
LOPEZ JAENA ST;QUIRINO AVE;RR;500.00;;
MAMAMANTE ST;SALVADOR ST;RR;500.00;;
MATADO;SAN DIONISIO;RR;500.00;;
MORAS ST;JACINTO ST;RR;500.00;;
N T GARCIA ST;P BURGOS ST;RR;500.00;;
P BURGOS ST;QUIRINO AVE;RR;500.00;;
PELAEZ ST;QUIRINO AVE;RR;500.00;;
QUIRINO AVE;SAULOG;CR;1,200.00;;
QUIRINO AVE;SAULOG;RR;900.00;;
RAMOS ST;TRAMO LINES;RR;500.00;;
ROMERO ST;QUIRINO AVE;RR;500.00;;
SALINAS ST;QUIRINO AVE;RR;500.00;;
SALVADOR ST;QUIRINO AVE;RR;500.00;;
TRAMO LINES;M H DEL PILAR;RR;450.00;;
VITALEZ ST;BUENAVENTURA;RR;450.00;;
WAKAS;QUIRINO AVE;RR;550.00;;
BARANGAY:;SAN ISIDRO  (12);;;;
CLAREM VIL;GARDEN CITY;RR;400.00;;
DELA CRUZ CPD;FORTUNA VIL;RR;400.00;;
FORTUNATA VIL;SAN ANTONIO;RR;500.00;;
GHEIGHT SUBD;SAV  I;RR;500.00;;
JUSTINA VIL;RAINBOW VIL;RR;380.00;;
KAYBIGA;SUKAT;RR;480.00;;
LOPEZ VIL;VITALEZ SUBD;RR;500.00;;
RAINBOW VIL;JUSTINA VIL;RR;450.00;;
SALVADOR ESTATE;SAV  XII;RR;400.00;;
SAN ANTONIO VAL;BF EXEC VIL;RR;450.00;;
SANTOS COMPOUND;SUKAT SDIONISIO;RR;400.00;;
SANTOS COMPOUND;VILLA LOURDES;RR;350.00;;
UNITED PQUE V;RAINBOW VIL;RR;400.00;;
VILLA LOURDES;SALVADOR EST;RR;380.00;;
VILLA MENDOZA;GREENHEIGHTS;RR;480.00;;
VILLANUEVA VIL;FRONT OF EVACOM;RR;400.00;;
VITALEZ CPD;BUENAVENTURA;RR;450.00;;
BARANGAY:;SAN M DE PORES (13);;;;
MARIAN PARK;FOOD TERMINAL;RR;300.00;;
UNITED PQUE  1;S EXPRESSWAY;RR;500.00;;
