N O T I C E;;;;;
RR NO. 6 - MANILA;;;;;
RDO No. 30 - BINONDO;;;;;
Schedules of Zonal Values per Department Order (DO) -;;;;;
DO No.;Revision;Effectivity Dates;;See Details on;
DO No.;Revision;From;To;;
21-03;4th;16-Nov-03;Present;Sheet 5 (DO 21-03);
75-96;3rd;22-Sep-96;15-Nov-03;Sheet 4 (DO 75-96);
33-93;2nd;07-Jul-93;21-Sep-96;Sheet 3 (DO 33-93);
39-90;1st;22-Sep-90;06-Jul-93;Sheet 2 (DO 39-90);
113-88;Initial;20-Jun-89;21-Sep-90;Sheet 1 (DO 113-88);
