RDO:;RDO NO. 50 - SOUTH MAKATI;;;;
PROVINCE:;NCR;;;;
PROVINCE:;NCR;;;;
CITY/MUNICIPALITY:;MAKATI CITY;;;;
BARANGAY:;DASMARIÑAS VILLAGE;;;;
AMORSOLO;;RR;35,000.00;;
CABALLERO;;RR;35,000.00;;
CAMPANILLA;;RR;35,000.00;;
CARISSA;;RR;35,000.00;;
CYPRESS;;RR;35,000.00;;
DASMARINAS AVENUE;;RR;35,000.00;;
GLADIOLA;;RR;35,000.00;;
GLORIOSA;;RR;35,000.00;;
GRANADA;;RR;35,000.00;;
KALACHUCI;;RR;35,000.00;;
KALAMANSI;;RR;35,000.00;;
KALUMBANG;;RR;35,000.00;;
KAMIAS;;RR;35,000.00;;
KAZOY;;RR;35,000.00;;
MABOLO;;RR;35,000.00;;
MACOPA;;RR;35,000.00;;
MAGNOLIA;;RR;35,000.00;;
MAHOGANY ROAD;;RR;35,000.00;;
MILFLORES;;RR;35,000.00;;
PALM AVENUE;;RR;35,000.00;;
PALOMANA;;RR;35,000.00;;
PARAISO;;RR;35,000.00;;
PARAISO AVENUE;;RR;35,000.00;;
POMELO;;RR;35,000.00;;
SAGA;;RR;35,000.00;;
SAMPAGUITA;;RR;35,000.00;;
SANTAN;;RR;35,000.00;;
SINEGUELAS;;RR;35,000.00;;
TAMARIND;;RR;35,000.00;;
BARANGAY:;FORBES PARK;;;;
AGOHO;;RR;35,000.00;;
ANAHAW;;RR;35,000.00;;
BALETE;;RR;35,000.00;;
BANABA;;RR;35,000.00;;
BANYAN;;RR;35,000.00;;
BAUHINIA;;RR;35,000.00;;
CAIMITO;;RR;35,000.00;;
CAMBRIDGE CIRCLE;;RR;35,000.00;;
DAPDAP;;RR;35,000.00;;
FLAME TREE;;RR;35,000.00;;
HARVARD;;RR;35,000.00;;
INSTIA;;RR;35,000.00;;
IPIL;;RR;35,000.00;;
JACARANDA;;RR;35,000.00;;
KAMAYAN;;RR;35,000.00;;
MAHOGANY;;RR;35,000.00;;
MOLAVE;;RR;35,000.00;;
MC KINLEY;;RR;35,000.00;;
NARRA;;RR;35,000.00;;
PALM AVENUE;;RR;35,000.00;;
PANDAN;;RR;35,000.00;;
PARK ROAD;;RR;35,000.00;;
PILI;;RR;35,000.00;;
SEN. GIL PUYAT;;RR;35,000.00;;
TALISAY;;RR;35,000.00;;
TAMARIND;;RR;35,000.00;;
TANGUILE;;RR;35,000.00;;
BARANGAY:;FORT BONIFACIO;;;;
PEMBO;;RR;7,500.00;;
CEMBO;;RR;7,500.00;;
COMEMBO;;RR;7,500.00;;
EAST REMBO;;RR;7,500.00;;
WEST REMBO;;RR;7,500.00;;
MALAPAD NA BATO;;RR;7,500.00;;
ALL CONDOMINIUMS, TOWNHOUSES,  INDUSTRIAL AND COMM'L. BLDGS.;;RC;25,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES,  INDUSTRIAL AND COMM'L. BLDGS.;;CC;25,000.00;;
BARANGAY:;GUADALUPE NUEVO;;;;
ANASTACIO;EDSA;RR;9,000.00;;
ANTIPOLO;;RR;9,000.00;;
ASANDA;;RR;9,000.00;;
BALAGTAS;;RR;9,000.00;;
BATAAN;EDSA;RR;9,000.00;;
BUENCOSEJO;;RR;9,000.00;;
CAMINO DELA FE;;RR;9,000.00;;
CAPAS;;RR;9,000.00;;
COMMERCIO;EDSA;RR;9,000.00;;
CORREGIDOR;EDSA;RR;9,000.00;;
DAPITAN;;RR;9,000.00;;
DEL CARMEN;;RR;9,000.00;;
E. JACINTO;;RR;9,000.00;;
EDSA;;CR;75,000.00;;
ESCUELA;;RR;9,000.00;;
FELIPE;;RR;9,000.00;;
GOV. NOBLE;;RR;9,000.00;;
KALAYAAN IMELDA AVENUE;;CR;18,000.00;;
LA BANDA;;RR;9,000.00;;
LA CONSOLACION;;RR;9,000.00;;
MACTAN;;RR;9,000.00;;
MAGALLANES;;RR;9,000.00;;
MANGAHAN;;RR;9,000.00;;
MERCEDES;;RR;9,000.00;;
NSTRA. SRA. DE ANTIPOLO;;RR;9,000.00;;
NSTRA. SRA. DE GUADALUPE;;RR;9,000.00;;
NSTRA. SRA. DE URDANETA;;RR;9,000.00;;
NSTRA. SRA. DEL CARMEN;;RR;9,000.00;;
ORENSE;;RR;9,000.00;;
P. BURGOS;;RR;9,000.00;;
P. BURGOS;;CR;18,000.00;;
P. URDANETA;;RR;9,000.00;;
P. VICTOR;;RR;9,000.00;;
R. MAGSAYSAY;EDSA;RR;9,000.00;;
RAON;;RR;9,000.00;;
REPOSO;;RR;9,000.00;;
RETIRO;;RR;9,000.00;;
SAMPAGUITA;;RR;9,000.00;;
SAN NICOLAS;;RR;9,000.00;;
SGT. F. YABUT;EDSA;RR;9,000.00;;
STA. RITA;;RR;9,000.00;;
YABUT CIRCLE;;RR;9,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES, INDUSTRIAL & COMMERCIAL  BUILDING BUILT AFTER 1995;;RC;30,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES, INDUSTRIAL & COMMERCIAL  BUILDING BUILT AFTER 1995;;CC;30,000.00;;
BARANGAY:;PINAGKAISAHAN;;;;
AGUTAYA;;RR;10,000.00;;
BALABAK;;RR;10,000.00;;
BELLEZA;;RR;10,000.00;;
CANIGARAN;;RR;10,000.00;;
CUYO;EDSA;RR;10,000.00;;
DANLIG;;RR;10,000.00;;
EDSA;;CR;75,000.00;;
ENSUENO;EDSA;RR;10,000.00;;
ERAN;;RR;10,000.00;;
GABUNG;;RR;10,000.00;;
GRACIA;;RR;10,000.00;;
HARVARD;EDSA;RR;10,000.00;;
HONDA;EDSA;RR;10,000.00;;
HONDA;PINAGKAISAHAN;CR;25,000.00;;
KALAYAAN AVENUE;;RR;10,000.00;;
LIMAS;;RR;10,000.00;;
LIMAS;;CR;20,000.00;;
OTON;;RR;10,000.00;;
P. CORTES;;RR;10,000.00;;
PINOS;;RR;10,000.00;;
QUINGUA;EDSA;RR;10,000.00;;
TOLENTINO;EDSA;RR;10,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES, INDUSTRIAL & COMMERCIAL  BUILDING BUILT AFTER 1995;;RC;30,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES, INDUSTRIAL & COMMERCIAL  BUILDING BUILT AFTER 1995;;CC;30,000.00;;
BARANGAY:;PITOGO;;;;
BOHOL;;RR;7,500.00;;
JACINTO;;RR;7,500.00;;
LEYTE;;RR;7,500.00;;
LUZON;;RR;7,500.00;;
MASBATE;;RR;7,500.00;;
MINDORO;;RR;7,500.00;;
PANAY;;RR;7,500.00;;
ROMBLON;;RR;7,500.00;;
SAMAR;;RR;7,500.00;;
ALL CONDOMINIUMS, TOWNHOUSES, INDUSTRIAL & COMMERCIAL  BUILDING BUILT AFTER 1995;;RC;30,000.00;;
ALL CONDOMINIUMS, TOWNHOUSES, INDUSTRIAL & COMMERCIAL  BUILDING BUILT AFTER 1995;;CC;30,000.00;;
BARANGAY:;SALCEDO VILLAGE;;;;
ALFARO;;CR;150,000.00;;
AYALA AVENUE;;CR;325,000.00;;
BAUTISTA;;CR;150,000.00;;
GALLARDO;;CR;150,000.00;;
GERONIMO;;CR;150,000.00;;
H. DELA COSTA;;CR;150,000.00;;
HERRERA;;CR;150,000.00;;
LAKANDULA;;CR;150,000.00;;
NIEVA;;CR;150,000.00;;
PASEO DE ROXAS;;CR;230,000.00;;
SALCEDO;;CR;150,000.00;;
SAN AGUSTIN;;CR;150,000.00;;
SANCHEZ;;CR;150,000.00;;
SEDENO;;CR;150,000.00;;
SOLIMAN;;CR;150,000.00;;
TOLEDO;;CR;150,000.00;;
TORDESILLAS;;CR;150,000.00;;
VALERO;;CR;150,000.00;;
VANO;;CR;150,000.00;;
VILLAR;;CR;150,000.00;;
