N O T I C E;;;;;
RR 13 - CEBU CITY;;;;;
RDO NO. 82 - CEBU CITY, SOUTH;;;;;
Schedules of Zonal Values per Department Order (DO) -;;;;;
DO NO.;Revision;Effectivity Dates;;City/Municipalities;
DO NO.;Revision;From;To;;
46-07;3rd;6-Jan-08;Present;Cebu City South;
18-97;2nd;24-Apr-97;5-Jan-08;Cebu City South;
20-93;1st;14-May-93;23-Apr-97;Cebu City South;
26-89;Initial;21-Sep-89;13-May-93;Cebu City South;
